Description	CCS Group	ICD9	CCS
Genetic susceptibility to other malignant neoplasm	Residual codes; unclassified	V8409	259
OPEN REDUC-INT FIX FEMUR	Other non-OR therapeutic procedures on muscul	7935	163
DESTRUCT LARYNX LES NEC	Other OR therapeutic procedures on respirator	3009	042
Contracture of palmar fascia	Therapeutic radiology	7286	211
biotin	Diagnostic procedures on eye	1588	018
biperiden	Diagnostic procedures on eye	1589	018
OP RED-INT FIX METAT/TAR	Therapeutic radiology	7937	211
Chronic mycotic otitis externa	Other OR upper GI therapeutic procedures	38015	094
Malignant otitis externa	Other OR upper GI therapeutic procedures	38014	094
Malignant neoplasm of retroperitoneum	Diagnostic procedures on eye	1580	018
OP RED-INT FIX TIB/FIBUL	Arthrocentesis	7936	155
Acute infection of pinna	Other OR upper GI therapeutic procedures	38011	094
Infective otitis externa, unspecified	Other OR upper GI therapeutic procedures	38010	094
Other acute infections of external ear	Other OR upper GI therapeutic procedures	38013	094
Acute swimmers' ear	Other OR upper GI therapeutic procedures	38012	094
OPN FX RED W INT FIX NEC	Residual codes; unclassified	7939	259
OPEN REDUCT-INT FIX TOE	Mastectomy	7938	167
Unspecified disorder of muscle, ligament, and fascia	Therapeutic radiology	7289	211
Expressive language disorder	Other OR therapeutic procedures on respirator	31531	042
Laryngoscopy, direct, operative, with foreign body removal;	Other OR therapeutic procedures on respirator	31530	042
idarubicin	Treatment, fracture or dislocation of lower e	5650	147
FORM CUTAN ILEOURETEROST	Treatment, fracture or dislocation of lower e	5651	147
Personal history of other disorders of nervous system and sense organs	Other non-OR lower GI therapeutic procedures	V1249	095
Personal history of benign neoplasm of the brain	Other non-OR lower GI therapeutic procedures	V1241	095
Unspecified failed trial of labor, antepartum condition or complication	Cerebral arteriogram	66063	188
Unspecified failed trial of labor, delivered, with or without mention of antepartum condition	Cerebral arteriogram	66061	188
Unspecified failed trial of labor, unspecified as to episode of care or not applicable	Cerebral arteriogram	66060	188
Above elbow amputation status	Therapeutic radiology	V4966	211
Personal history of other specified urinary system disorders	Other non-OR therapeutic procedures on muscul	V1309	163
Personal history, urinary (tract) infection	Other non-OR therapeutic procedures on muscul	V1302	163
Personal history of urinary calculi	Other therapeutic procedures on muscles and t	V1301	160
Personal history of unspecified urinary disorder	Other non-OR therapeutic procedures on muscul	V1300	163
EXCISE FEMUR FOR GRAFT	Cancer chemotherapy	7775	224
Other acquired deformities of finger	Radioisotope scan and function studies	73629	209
Swan-neck deformity	Radioisotope scan and function studies	73622	209
oxandrolone	Cancer chemotherapy	7779	224
EXCIS METATAR/TAR-GRAFT	Cancer chemotherapy	7778	224
Acute rheumatic pericarditis	Other gastrointestinal diagnostic procedures	3910	097
Acute rheumatic heart disease, unspecified	Other gastrointestinal diagnostic procedures	3919	097
Other acute rheumatic heart disease	Other gastrointestinal diagnostic procedures	3918	097
Abdominal pain, other specified site	Abdominal pain	78909	251
Narcolepsy, with cataplexy	Other non-OR lower GI therapeutic procedures	34701	095
Narcolepsy, without cataplexy	Other non-OR lower GI therapeutic procedures	34700	095
capreomycin	Abdominal pain	78903	251
Abdominal pain, left upper quadrant	Abdominal pain	78902	251
Abdominal pain, right upper quadrant	Abdominal pain	78901	251
Abdominal pain, unspecified site	Abdominal pain	78900	251
Abdominal pain, generalized	Abdominal pain	78907	251
Abdominal pain, epigastric	Abdominal pain	78906	251
Abdominal pain, periumbilic	Abdominal pain	78905	251
Abdominal pain, left lower quadrant	Abdominal pain	78904	251
Heparin-induced thrombocytopenia (HIT)	Other diagnostic cardiovascular procedures	28984	062
ANTINEOPLASTIC IMMUNOTHERAPY (Begin 1994)	Gastric bypass and volume reduction	9928	244
INJECT/INFUSE NEC	Gastric bypass and volume reduction	9929	244
INJ INFUS PLATELET INHIBITOR (Begin 1998)	Gastric bypass and volume reduction	9920	244
Secondary hypercoagulable state	Other diagnostic cardiovascular procedures	28982	062
INJECT ANTI-INFECT NEC	Gastric bypass and volume reduction	9922	244
INJECT STEROID	Gastric bypass and volume reduction	9923	244
INJECT CA CHEMOTHER NEC	Gastric bypass and volume reduction	9925	244
Other specified noninflammatory disorders of cervix	Other OR therapeutic procedures on skin and b	6228	175
Benign neoplasm of breast	Diagnostic cardiac catheterization, coronary	217	047
Post-CCU	Other OR therapeutic procedures on nose, mout	214	033
Organic insomnia, unspecified	Residual codes; unclassified	32700	259
PERIREN/VESICLE OP NEC	Other OR therapeutic procedures on joints	5992	162
Unspecified disorder of male genital organs	Lumpectomy, quadrantectomy of breast	6089	166
Other inflammatory disorders of male genital organs	Breast biopsy and other diagnostic procedures	6084	165
PERIPROSTATIC EXCISION	Lumpectomy, quadrantectomy of breast	6082	166
Atrophy of testis	Lumpectomy, quadrantectomy of breast	6083	166
Seminal vesiculitis	Breast biopsy and other diagnostic procedures	6080	165
PERIPROSTATIC INCISION	Lumpectomy, quadrantectomy of breast	6081	166
Prolonged pregnancy, unspecified as to episode of care or not applicable	Upper gastrointestinal X-ray	64520	185
Diabetes with peripheral circulatory disorders, type I [juvenile type], uncontrolled	Other therapeutic procedures on muscles and t	25073	160
Late effects of cerebrovascular disease, dysphasia	Transurethral resection of prostate (TURP)	43812	113
Late effects of cerebrovascular disease, aphasia	Transurethral resection of prostate (TURP)	43811	113
Late effects of cerebrovascular disease, speech and language deficit, unspecified	Transurethral resection of prostate (TURP)	43810	113
Suspected damage to fetus from radiation, affecting management of mother, antepartum condition or complication	Diagnostic ultrasound of urinary tract	65563	195
Aftercare following joint replacement	Other aftercare	V5481	257
Unspecified disorder of iris and ciliary body	Peritoneal dialysis	3649	091
CLOSURE OF MOUTH FISTULA	Hemodialysis	2753	058
Unspecified iridocyclitis	Excision, lysis peritoneal adhesions	3643	090
Other orthopedic aftercare	Other aftercare	V5489	257
doxycycline	Ungrouped	3640	000
Cushing's syndrome	Endarterectomy, vessel of head and neck	2550	051
ciprofloxacin	Endarterectomy, vessel of head and neck	2551	051
Adrenogenital disorders	Endarterectomy, vessel of head and neck	2552	051
Uterine size date discrepancy, antepartum condition or complication	Myelogram	64963	181
corticoadrenal insuffic	Endarterectomy, vessel of head and neck	2554	051
cisplatin	Endarterectomy, vessel of head and neck	2555	051
citalopram	Endarterectomy, vessel of head and neck	2556	051
Other specified disorders of adrenal glands	Endarterectomy, vessel of head and neck	2558	051
REPAIR OF TONGUE NEC	Endarterectomy, vessel of head and neck	2559	051
Excision of lesion, esophagus, with primary repair; cervical approach	Other OR upper GI therapeutic procedures	43100	094
Unspecified reason for consultation	Administrative/social admission	V659	255
Other reasons for seeking consultation	Administrative/social admission	V658	255
Person with feared complaint in whom no diagnosis was made	Administrative/social admission	V655	255
Other persons seeking consultation - Other counseling, not elsewhere classified	Administrative/social admission	V654	255
Dietary surveillance and counseling	Administrative/social admission	V653	255
Objective tinnitus	Other OR upper GI therapeutic procedures	38832	094
Subjective tinnitus	Other OR upper GI therapeutic procedures	38831	094
Tinnitus, unspecified	Other OR upper GI therapeutic procedures	38830	094
Paresis of accommodation	Exploratory laparotomy	36751	089
GASTRIC DIAGNOS PROC NEC	Circumcision	4419	115
Spasm of accommodation	Exploratory laparotomy	36753	089
Thoracoabdominal aneurysm, without mention of rupture	Circumcision	4417	115
CLOSED GASTRIC BIOPSY	Circumcision	4414	115
GASTROSCOPY NEC	Circumcision	4413	115
GASTROSCOPY THRU STOMA	Circumcision	4412	115
TRANSABDOMIN GASTROSCOPY	Circumcision	4411	115
Other retinal disorders	Laparoscopy	36289	087
Retinal exudates and deposits	Laparoscopy	36282	087
Retinal edema	Laparoscopy	36283	087
Retinal hemorrhage	Laparoscopy	36281	087
Retinal ischemia	Laparoscopy	36284	087
Retinal nerve fiber bundle defects	Laparoscopy	36285	087
Other cardiorespiratory problems	Residual codes; unclassified	V472	259
Other urinary problems	Other non-OR therapeutic procedures on muscul	V474	163
Hypertension secondary to renal disease, complicating pregnancy, childbirth, and the puerperium, antepartumcondition or complication	Routine chest X-ray	64213	183
Hodgkin's paragranuloma, lymph nodes of axilla and upper limb	Diagnostic bronchoscopy and biopsy of bronchu	20104	037
Hodgkin's paragranuloma, unspecified site, extranodal and solid organ sites	Other OR therapeutic procedures on skin and b	20100	175
Retinal defect, unspecified	Laparoscopy	36130	087
Round hole of retina without detachment	Laparoscopy	36131	087
Horseshoe tear of retina without detachment	Laparoscopy	36132	087
Multiple defects of retina without detachment	Laparoscopy	36133	087
Open dislocation interphalangeal (joint), hand	Conversion of cardiac rhythm	83412	225
Open dislocation of metacarpophalangeal (joint)	Conversion of cardiac rhythm	83411	225
Open dislocation of finger, unspecified part	Conversion of cardiac rhythm	83410	225
Cortex (cerebral) contusion without mention of open intracranial wound, with brief [less than one hour] loss of consciousness	Laboratory - Chemistry and Hematology	85102	233
Cortex (cerebral) contusion without mention of open intracranial wound, unspecified state of consciousness	Laboratory - Chemistry and Hematology	85100	233
Cortex (cerebral) contusion without mention of open intracranial wound, with loss of consciousness of unspecified duration	Laboratory - Chemistry and Hematology	85106	233
Cortex (cerebral) contusion without mention of open intracranial wound, with concussion, unspecified	Laboratory - Chemistry and Hematology	85109	233
Acute myocardial infarction of other lateral wall, initial episode of care	Endoscopy and endoscopic biopsy of the urinar	41051	100
Other sprains and strains of ankle	Anesthesia	84509	232
Methicillin susceptible Staphylococcus aureus in conditions classified elsewhere and of unspecified site	Laminectomy, excision intervertebral disc	04111	003
Staphylococcus infection in conditions classified elsewhere and of unspecified site, staphylococcus, unspecified	Laminectomy, excision intervertebral disc	04110	003
Sprain of ankle, unspecified site	Anesthesia	84500	232
Sprain of deltoid (ligament), ankle	Anesthesia	84501	232
Sprain of calcaneofibular (ligament) of ankle	Anesthesia	84502	232
Sprain of tibiofibular (ligament), distal of ankle	Anesthesia	84503	232
Other and unspecified cord entanglement, without mention of compression, complicating labor and delivery, delivered, with or without mention of antepartum condition	Diagnostic ultrasound of head and neck	66331	192
Other motor vehicle traffic accident involving collision on the highway injuring passenger in motor vehicle other than motorcycle	E Codes: All (external causes of injury and poisoning)	E8151	260
Embolism and thrombosis of iliac artery	Diagnostic procedures, male genital	44481	116
Embolism and thrombosis of other specified artery	Diagnostic procedures, male genital	44489	116
Idiopathic peripheral autonomic neuropathy, unspecified	Hemorrhoid procedures	33700	081
Carotid sinus syndrome	Hemorrhoid procedures	33701	081
Other specified hemiplegia and hemiparesis affecting unspecified side	Endoscopic retrograde cannulation of pancreas	34280	082
Other specified hemiplegia and hemiparesis affecting dominant side	Endoscopic retrograde cannulation of pancreas	34281	082
DX PROC MEDIASTINUM NEC	Endoscopic retrograde cannulation of pancreas	3429	082
Posterior dislocation of tibia, proximal end, closed	Conversion of cardiac rhythm	83652	225
Enteritis due to rotavirus	Forceps, vacuum, and breech delivery	00861	135
Tuberculosis of unspecified bones and joints, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]	Incision and excision of CNS	01596	001
METACAR/CAR WEDG OSTEOTO	Cancer chemotherapy	7724	224
spherocylinder, bifocal, plus or minus 4.25 to plus or minus 7.00d sphere, over 6.00d cylinder,per lens	Poisoning by psychotropic agents	V2210	241
Other dissociated deviation of eye movements	Peritoneal dialysis	37887	091
Internuclear ophthalmoplegia	Peritoneal dialysis	37886	091
Anomalies of divergence	Peritoneal dialysis	37885	091
Convergence excess or spasm	Peritoneal dialysis	37884	091
Convergence insufficiency or palsy	Peritoneal dialysis	37883	091
TRANSPLEURA THORACOSCOPY	Endoscopic retrograde cannulation of pancreas	3421	082
Palsy of conjugate gaze	Peritoneal dialysis	37881	091
APICOECTOMY	Coronary artery bypass graft (CABG)	2373	044
Drugs Identification - Single Source Drug	Myelogram	631	181
SYNOVECTOMY-SITE NOS	Other OR therapeutic procedures on joints	8070	162
ELBOW SYNOVECTOMY	Other therapeutic procedures	8072	231
Egg (oocyte) (ovum) donor, unspecified	Residual codes; unclassified	V5970	259
Unspecified prolonged labor, delivered, with or without mention of antepartum condition	Contrast arteriogram of femoral and lower ext	66211	190
Tinea nigra	Diagnostic spinal tap	1111	004
Pityriasis versicolor	Diagnostic spinal tap	1110	004
Tinea blanca	Diagnostic spinal tap	1112	004
Malignant neoplasm of anterior portion of floor of mouth	Diagnostic endocrine procedures	1440	011
Dermatomycosis, unspecified	Diagnostic spinal tap	1119	004
Other specified dermatomycoses	Diagnostic spinal tap	1118	004
SCLERAL BUCKLING NEC	Repair of retinal tear, detachment	1449	016
Injury to other specified intrathoracic organs without mention of open wound into cavity	Pathology	86229	234
Arthroscopic surgical procedure converted to open procedure	Residual codes; unclassified	V6443	259
Ectopic pregnancy - Unspecified ectopic pregnancy	Other CT scan	6339	180
DECIDUOUS TOOTH EXTRACT	Oral and Dental Services	2301	029
Schmorl's nodes, lumbar region	Arterial blood gases	72232	205
Schmorl's nodes, thoracic region	Arterial blood gases	72231	205
Closed fracture of base of other metacarpal bone(s)	Nonoperative removal of foreign body	81502	229
Carcinoma in situ of colon	Glaucoma procedures	2303	014
Chronic osteomyelitis, site unspecified	Other diagnostic radiology and related techni	73010	226
Chronic osteomyelitis, shoulder region	Cardiac stress tests	73011	201
Carcinoma in situ of stomach	Corneal transplant	2302	013
Chronic osteomyelitis, pelvic region and thigh	Cardiac stress tests	73015	201
Chronic osteomyelitis, lower leg	Cardiac stress tests	73016	201
Chronic osteomyelitis, ankle and foot	Cardiac stress tests	73017	201
Chronic osteomyelitis, other specified sites	Cardiac stress tests	73018	201
Carcinoma in situ of anal canal	Lens and cataract procedures	2305	015
Carcinoma in situ of rectum	Lens and cataract procedures	2304	015
Counseling NOS	Administrative/social admission	V6540	255
Other and unspecified diseases of upper respiratory tract	Cesarean section	4789	134
Exercise counseling	Administrative/social admission	V6541	255
Edema of larynx	Cesarean section	4786	134
Other diseases of vocal cords	Cesarean section	4785	134
Closed fracture of neck of metacarpal bone(s)	Nonoperative removal of foreign body	81504	229
Cerebral atherosclerosis	Other non-OR therapeutic procedures of urinar	4370	111
nasal & sinus dis nec	Cesarean section	4781	134
Hypertrophy of nasal turbinates	Cesarean section	4780	134
PERINEAL URETHROSCOPY	Injections and aspirations of muscles, tendon	5821	156
Chronic glomerulonephritis with lesion of proliferative glomerulonephritis	Injections and aspirations of muscles, tendon	5820	156
Neoplasm of uncertain behavior of kidney and ureter	Coronary artery bypass graft (CABG)	23691	044
Neoplasm of uncertain behavior of urinary organ, unspecified	Coronary artery bypass graft (CABG)	23690	044
URETHRAL DX PROC NEC	Injections and aspirations of muscles, tendon	5829	156
Nonpyogenic thrombosis of intracranial venous sinus	Other non-OR therapeutic procedures of urinar	4376	111
Neoplasm of uncertain behavior of other and unspecified urinary organs	Coronary artery bypass graft (CABG)	23699	044
Transient global amnesia	Other non-OR therapeutic procedures of urinar	4377	111
Encounter for insulin pump training	Other OR heart procedures	V6546	049
Unspecified monoarthritis, hand	Swan-Ganz catheterization for monitoring	71664	204
Hemarthrosis, pelvic region and thigh	Swan-Ganz catheterization for monitoring	71915	204
CLOSE RED-INT FIX FINGER	Other non-OR therapeutic procedures on muscul	7914	163
Hemarthrosis, hand	Swan-Ganz catheterization for monitoring	71914	204
Hemarthrosis, upper arm	Swan-Ganz catheterization for monitoring	71912	204
Injury to stomach, with open wound into cavity	Pathology	8631	234
Other specified congenital anomalies of face and neck	Other respiratory therapy	74489	217
Complications affecting other specified body systems, not elsewhere classified	Complications of surgical procedures or medical care	99799	238
Abnormality in fetal heart rate or rhythm, unspecified as to episode of care or not applicable	Diagnostic ultrasound of urinary tract	65970	195
Abnormality in fetal heart rate or rhythm, delivered, with or without mention of antepartum condition	Diagnostic ultrasound of urinary tract	65971	195
Torus fracture, fibula with tibia	Extracorporeal shock wave, other than urinary	82342	230
Abnormality in fetal heart rate or rhythm, antepartum condition or complication	Diagnostic ultrasound of urinary tract	65973	195
Post term pregnancy, delivered, with or without mention of antepartum condition	Upper gastrointestinal X-ray	64511	185
Post term pregnancy, unspecified as to episode of care or not applicable	Upper gastrointestinal X-ray	64510	185
Post term pregnancy, antepartum condition or complication	Upper gastrointestinal X-ray	64513	185
acetylcarnitine	Lobectomy or pneumonectomy	193	036
Need for prophylactic vaccination and inoculation against tuberculosis [BCG]	Thyroidectomy, partial or complete	V032	010
Other gastrostomy complications	Complications of surgical procedures or medical care	53649	238
Acute gingivitis, non-plaque induced	Disorders of teeth and jaw	52301	136
Acute gingivitis, plaque induced	Disorders of teeth and jaw	52300	136
TOXICOLOGY-MUSCULOSKEL	Superficial injury; contusion	9155	239
Anaphylactic shock due to other specified food	Allergic reactions	99569	253
OTH PLASTIC REPAIR PALAT	Peripheral vascular bypass	2769	055
CELL BLK/PAP-MUSCULOSKEL	Superficial injury; contusion	9156	239
BACT SMEAR-MUSCULOSKEL	Superficial injury; contusion	9151	239
Abrasion or friction burn of finger(s), without mention of infection	Superficial injury; contusion	9150	239
C & S-MUSCULOSKELETAL	Superficial injury; contusion	9153	239
CULTURE-MUSCULOSKELETAL	Superficial injury; contusion	9152	239
REVIS CLEFT PALAT REPAIR	Peripheral vascular bypass	2763	055
Anaphylactic shock due to peanuts	Allergic reactions	99561	253
SUTURE OF PALATE LACERAT	Peripheral vascular bypass	2761	055
Hyperosmolality and/or hypernatremia	Peripheral vascular bypass	2760	055
Anaphylactic shock due to tree nuts and seeds	Allergic reactions	99564	253
Fluid overload disorder	Peripheral vascular bypass	2766	055
Anaphylactic shock due to food additives	Allergic reactions	99566	253
INSERT PALATAL IMPLANT (Begin 2004)	Peripheral vascular bypass	2764	055
CL FX REDUC-TOE	Treatment, fracture or dislocation of lower e	7908	147
CLOSED FX REDUCTION NEC	Residual codes; unclassified	7909	259
Chronic mucoid otitis media, simple or unspecified	Other bowel diagnostic procedures	38120	092
CLOSED FX REDUCT HUMERUS	Residual codes; unclassified	7901	259
CL FX REDUC-RADIUS/ULNA	Treatment, fracture or dislocation of radius	7902	145
CL FX REDUC-METACAR/CAR	Other fracture and dislocation procedure	7903	148
CL FX REDUC-FINGER	Excision of semilunar cartilage of knee	7904	151
CL FX REDUC-FEMUR	Excision of semilunar cartilage of knee	7905	151
CL FX REDUC-TIBIA/FIBULA	Residual codes; unclassified	7906	259
CL FX REDUC-METATAR/TAR	Treatment, fracture or dislocation of lower e	7907	147
Postmenopausal bleeding	Other diagnostic procedures on skin and subcu	6271	173
Premenopausal menorrhagia	Other diagnostic procedures on skin and subcu	6270	173
Postmenopausal atrophic vaginitis	Other diagnostic procedures on skin and subcu	6273	173
Symptomatic menopausal or female climacteric states	Other diagnostic procedures on skin and subcu	6272	173
Symptomatic states associated with artificial menopause	Other diagnostic procedures on skin and subcu	6274	173
glycine	Dilatation and curettage (D&C), aspiration af	4919	127
Unspecified menopausal and postmenopausal disorder	Other diagnostic procedures on skin and subcu	6279	173
Other specified menopausal and postmenopausal disorders	Other diagnostic procedures on skin and subcu	6278	173
Acute duodenal ulcer with perforation, without mention of obstruction	Fetal monitoring	53210	139
Acute duodenal ulcer with perforation, with obstruction	Fetal monitoring	53211	139
Cicatricial ectropion	Peritoneal dialysis	37414	091
LEG ARTERY EXCISION	Other non-OR upper GI therapeutic procedures	3868	093
Ectropion, unspecified	Peritoneal dialysis	37410	091
Senile ectropion	Peritoneal dialysis	37411	091
Mechanical ectropion	Peritoneal dialysis	37412	091
THORACOSCOPC DECORT LUNG (Begin 2007)	Biopsy of liver	3452	083
Grand mal status	Biopsy of liver	3453	083
Epilepsy and recurrent seizures - Generalized nonconvulsive epilepsy	Biopsy of liver	3450	083
DECORTICATION OF LUNG	Biopsy of liver	3451	083
Epilepsy and recurrent seizures - Infantile spasms	Biopsy of liver	3456	083
Epilepsy and recurrent seizures - Localization-related (focal) (partial) epilepsy and epileptic syndromes with complex partial seizures	Biopsy of liver	3454	083
OTHER PLEURAL EXCISION	Biopsy of liver	3459	083
Nocturnal enuresis	Other non-OR therapeutic procedures on muscul	78836	163
Methicillin resistant pneumonia due to Staphylococcus aureus	Removal of ectopic pregnancy	48242	122
Methicillin susceptible pneumonia due to Staphylococcus aureus	Removal of ectopic pregnancy	48241	122
Pneumonia due to Staphylococcus, unspecified	Removal of ectopic pregnancy	48240	122
Pain in joint, hand	Swan-Ganz catheterization for monitoring	71944	204
Pain in joint, pelvic region and thigh	Swan-Ganz catheterization for monitoring	71945	204
Pain in joint, lower leg	Swan-Ganz catheterization for monitoring	71946	204
Pain in joint, ankle and foot	Swan-Ganz catheterization for monitoring	71947	204
Pain in joint, site unspecified	Swan-Ganz catheterization for monitoring	71940	204
Pain in joint, shoulder region	Swan-Ganz catheterization for monitoring	71941	204
Pain in joint, upper arm	Swan-Ganz catheterization for monitoring	71942	204
Pain in joint, forearm	Swan-Ganz catheterization for monitoring	71943	204
Chronic or unspecified duodenal ulcer with hemorrhage, without mention of obstruction	Hip replacement, total and partial	53240	153
Pain in joint, other specified sites	Swan-Ganz catheterization for monitoring	71948	204
Pain in joint, multiple sites	Swan-Ganz catheterization for monitoring	71949	204
Need for prophylactic vaccination and inoculation against measles alone	Thyroidectomy, partial or complete	V042	010
Need for prophylactic vaccination and inoculation against rubella alone	Thyroidectomy, partial or complete	V043	010
Need for prophylactic vaccination and inoculation against poliomyelitis	Thyroidectomy, partial or complete	V040	010
Need for prophylactic vaccination and inoculation against smallpox	Thyroidectomy, partial or complete	V041	010
Need for prophylactic vaccination and inoculation against mumps alone	Thyroidectomy, partial or complete	V046	010
Need for prophylactic vaccination and inoculation against common cold	Thyroidectomy, partial or complete	V047	010
Need for prophylactic vaccination and inoculation against yellow fever	Thyroidectomy, partial or complete	V044	010
Need for prophylactic vaccination and inoculation against rabies	Thyroidectomy, partial or complete	V045	010
vaccin for influenza	Thyroidectomy, partial or complete	V048	010
Other and unspecified diseases of pulp and periapical tissues	Disorders of teeth and jaw	5229	136
Radicular cyst	Disorders of teeth and jaw	5228	136
ENDOSC DESTR PANCREA LES (Begin 1989)	Disorders of teeth and jaw	5221	136
Pulpitis	Disorders of teeth and jaw	5220	136
Periapical abscess with sinus	Disorders of teeth and jaw	5227	136
Chronic apical periodontitis	Disorders of teeth and jaw	5226	136
Periapical abscess without sinus	Disorders of teeth and jaw	5225	136
Acute apical periodontitis of pulpal origin	Disorders of teeth and jaw	5224	136
Chronic post-traumatic headache	Cholecystectomy and common duct exploration	33922	084
Episodic tension type headache	Cholecystectomy and common duct exploration	33911	084
isradipine	Cholecystectomy and common duct exploration	33910	084
Plasma cell leukemia, without mention of having achieved remission	Incision of pleura, thoracentesis, chest drai	20310	039
Blisters, epidermal loss [second degree] of multiple sites of wrist(s) and hand(s)	Burns	94428	240
Blisters , epidermal loss [second degree] of back of hand	Burns	94426	240
Blisters, epidermal loss [second degree] of wrist	Burns	94427	240
Blisters, epidermal loss [second degree] of two or more digits of hand including thumb	Burns	94424	240
Blisters, epidermal loss [second degree] of palm	Burns	94425	240
Blisters, epidermal loss [second degree] of thumb (nail)	Burns	94422	240
Blisters, epidermal loss [second degree] of two or more digits of hand, not including thumb	Burns	94423	240
Blisters, epidermal loss [second degree] of hand, unspecified site	Burns	94420	240
Blisters, epidermal loss [second degree] of single digit [finger (nail)] other than thumb	Burns	94421	240
Personal history of pneumonia (recurrent)	Other lower respiratory disease	V1261	133
Personal history of other diseases of respiratory system	Other lower respiratory disease	V1269	133
Staphyloma posticum	Peritoneal dialysis	37912	091
NONMAGNET REMOVE FB LENS	Excision, lysis peritoneal adhesions	1302	090
Other specified conditions influencing health status	Residual codes; unclassified	V4989	259
Obstruction caused by malposition of fetus at onset of labor, delivered, with or without mention of antepartum condition	Intravenous pyelogram	66001	187
Bed confinement status	Residual codes; unclassified	V4984	259
Toxoplasmosis, unspecified	Other non-OR or closed therapeutic nervous sy	1309	008
Asymptomatic postmenopausal status (age-related) (natural)	Residual codes; unclassified	V4981	259
Open fracture of shaft of femur	Extracorporeal shock wave, other than urinary	82111	230
Open fracture of unspecified part of femur	Extracorporeal shock wave, other than urinary	82110	230
EXCISION OF ANUS	Dilatation and curettage (D&C), aspiration af	496	127
Ambulatory Surgical Care - General Classification	Dilatation and curettage (D&C), aspiration af	490	127
LOCAL EXCIS DEST ANUS LES (Begin 1980 End 1989)	Other OR lower GI therapeutic procedures	493	096
Fracture nasal inferior turbinate(s), therapeutic	Treatment, facial fracture or dislocation	30930	144
Calculus of gallbladder with acute cholecystitis, with obstruction	Arthroscopy	57401	149
OTH EXC; FUS; REPAIR TOE (Begin 1989)	Cancer chemotherapy	7758	224
Other transitory neonatal electrolyte disturbances	Cancer chemotherapy	7755	224
REPAIR OF HAMMER TOE (Begin 1989)	Cancer chemotherapy	7756	224
Syndrome of "infant of a diabetic mother"""	Cancer chemotherapy	7750	224
OTH BUNIONECT	Cancer chemotherapy	7753	224
Abdominal tenderness, right upper quadrant	Abdominal pain	78961	251
Abdominal tenderness, unspecified site	Abdominal pain	78960	251
Abdominal tenderness, right lower quadrant	Abdominal pain	78963	251
Abdominal tenderness, periumbilic	Abdominal pain	78965	251
Abdominal tenderness, left lower quadrant	Abdominal pain	78964	251
Abdominal tenderness, generalized	Abdominal pain	78967	251
Abdominal tenderness, epigastric	Abdominal pain	78966	251
Abdominal tenderness, other specified site	Abdominal pain	78969	251
OTH LO VISION AID DISPEN	Gastric bypass and volume reduction	9533	244
contusn of multiple sites of lower limb	Superficial injury; contusion	9244	239
pimozide	Other therapeutic procedures on muscles and t	8331	160
Open fracture of unspecified part of upper end of humerus	Pathology	81210	234
Crushing injury of hand(s)	Pathology	92720	234
Chronic gouty arthropathy without mention of tophus (tophi)	Other vascular catheterization, not heart	27402	054
Chronic venous hypertension without complications	Ligation of fallopian tubes	45930	121
Chronic venous hypertension with ulcer	Ligation of fallopian tubes	45931	121
Injury to other specified pelvic organs, with open wound into cavity	Pathology	8677	234
Congenital obstruction of ureteropelvic junction	Other physical therapy and rehabilitation	75321	215
Congenital obstruction of ureterovesical junction	Other physical therapy and rehabilitation	75322	215
Congenital ureterocele	Other physical therapy and rehabilitation	75323	215
Unspecified cataract	Other hernia repair	3669	086
Other cataract	Other hernia repair	3668	086
Other known or suspected fetal abnormality, not elsewhere classified, affecting management of mother, antepartum condition or complication	Diagnostic ultrasound of urinary tract	65583	195
Contact with or exposure to anthrax	Thyroidectomy, partial or complete	V0181	010
Contact with or exposure to meningococcus	Thyroidectomy, partial or complete	V0184	010
Contact with or exposure to other communicable diseases	Thyroidectomy, partial or complete	V0189	010
clemastine	Endarterectomy, vessel of head and neck	2578	051
Unspecified testicular dysfunction	Endarterectomy, vessel of head and neck	2579	051
Other testicular hypofunction	Endarterectomy, vessel of head and neck	2572	051
Testicular hyperfunction	Endarterectomy, vessel of head and neck	2570	051
Postablative testicular hypofunction	Endarterectomy, vessel of head and neck	2571	051
CONDUIT LEFT VENTR-AORTA	Other non-OR lower GI therapeutic procedures	3593	095
CONDUIT RT VENT-PUL ART	Other non-OR lower GI therapeutic procedures	3592	095
INTERAT VEN RETRN TRANSP	Other non-OR lower GI therapeutic procedures	3591	095
Congenital hereditary muscular dystrophy	Other non-OR lower GI therapeutic procedures	3590	095
PERC HEART VALVULOPLASTY (Begin 1986)	Other non-OR lower GI therapeutic procedures	3596	095
HEART REPAIR REVISION	Other non-OR lower GI therapeutic procedures	3595	095
CONDUIT ARTIUM-PULM ART	Other non-OR lower GI therapeutic procedures	3594	095
OTHER HEART VALVE OPS	Other non-OR lower GI therapeutic procedures	3599	095
OTHER HEART SEPTA OPS	Other non-OR lower GI therapeutic procedures	3598	095
Other disorders of middle ear and mastoid	Other OR upper GI therapeutic procedures	38589	094
HIGH GASTRIC BYPASS	Other non-OR therapeutic procedures, male gen	4431	117
Raynaud's syndrome	Other non-OR therapeutic procedures, male gen	4430	117
Other antepartum hemorrhage, unspecified as to episode of care or not applicable	Mammography	64180	182
